Cedar Waxwing
Greater Scaup
Red-naped Sapsucker
Ring-necked Duck
Mourning Dove
Oak Titmouse
White-crowned Sparrow
Hutton's Vireo
Chestnut-backed Chickadee
White-tailed Kite
Ring-billed Gull
Northern Mockingbird
Marsh Wren
Black-crowned Night Heron
Black-necked Stilt
Bushtit
Great Egret
Least Sandpiper
Greater Yellowlegs
American Avocet
California Towhee
Black Phoebe
Green Heron
Ruddy Duck
Brown Creeper
Red-breasted Nuthatch
Ruby-crowned Kinglet
Northern Shoveler
Red-tailed Hawk
Common Goldeneye
Bewick's Wren
European Starling
Short-eared Owl
Dunlin
Long-billed Dowitcher
Killdeer
Pied-billed Grebe
Trumpeter Swan
Northern Harrier
Green-winged Teal
Short-billed Gull
Canada Goose
Yellow-rumped Warbler
Golden-crowned Sparrow
Brant
Spotted Towhee
Northern Flicker
Downy Woodpecker
Barrow's Goldeneye
American Crow
Glaucous-winged Gull
American Wigeon
Pileated Woodpecker
Belted Kingfisher
Great Blue Heron
Double-crested Cormorant
American Coot
Wood Duck
Red-winged Blackbird
Song Sparrow
Bald Eagle
Common Merganser
Bufflehead
Mallard
Cooper's Hawk
Hooded Merganser
Gadwall
Anna's Hummingbird
California Scrub-Jay
American Robin
Black-capped Chickadee
House Finch
Dark-eyed Junco
Chestnut-backed Antbird
Muscovy Duck
Northern Waterthrush
White Ibis
Bananaquit
Inca Dove
Great Curassow
Rufous-backed Wren
Short-billed Pigeon
Riverside Wren
Green Kingfisher
Willet
Common Black Hawk
Neotropic Cormorant
Great-tailed Grackle
Roadside Hawk
Crested Guan
Melodious Blackbird
Sandwich Tern
Gray-capped Flycatcher
Snowy Egret
Common Potoo
Volcano Junco
Summer Tanager
Fiery-throated Hummingbird
Stripe-tailed Hummingbird
Purple-throated Mountain-gem
Tennessee Warbler
Golden-hooded Tanager
Common Chlorospingus
Turkey Vulture
Acorn Woodpecker
Black-faced Solitaire
Yellow-thighed Brushfinch
Talamanca Hummingbird
Silver-throated Tanager
Flame-colored Tanager
Wilson's Warbler
Rufous-collared Sparrow
Long-tailed Silky-flycatcher
Tropical Mockingbird
Tufted Flycatcher
Spot-crowned Woodcreeper
Scintillant Hummingbird
White-throated Mountain-gem
Lesser Violetear
Black Guan
Ruddy Quail-Dove
Black Vulture
Orange-chinned Parakeet
Olive-backed Euphonia
Yellow-crowned Euphonia
Gray-headed Chachalaca
Buff-throated Saltator
White-tipped Dove
Scarlet Macaw
Great Green Macaw
Ringed Kingfisher
Black-cheeked Woodpecker
Great Kiskadee
Green Honeycreeper
Palm Tanager
Blue-gray Tanager
Scarlet-rumped Tanager
Crimson-collared Tanager
Baltimore Oriole
Chestnut-headed Oropendola
Western Cattle-Egret
Violet Sabrewing
Keel-billed Toucan
Yellow-throated Toucan
Red-legged Honeycreeper
Montezuma Oropendola
Clay-colored Thrush
Rufous-tailed Hummingbird
Social Flycatcher
Crimson-fronted Parakeet
Lesson's Motmot
