Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,29888,species,Cedar Waxwing,Bombycilla cedrorum,4,Magnuson Park,US-WA,05 Feb 2026,L269461,S298308493,,1
2,694,species,Greater Scaup,Aythya marila,20,Magnuson Park,US-WA,05 Feb 2026,L269461,S298308493,,1
3,11127,species,Red-naped Sapsucker,Sphyrapicus nuchalis,1,Ulistac Natural Area,US-CA,04 Feb 2026,L773892,S298148973,,1
4,673,species,Ring-necked Duck,Aythya collaris,5,McClellan Groundwater Recharge Ponds (Bubb Rd. percolation ponds),US-CA,04 Feb 2026,L1454669,S298106896,,1
5,2412,species,Mourning Dove,Zenaida macroura,,McClellan Ranch Preserve,US-CA,04 Feb 2026,L299860,S298075856,,1
6,22150,species,Oak Titmouse,Baeolophus inornatus,,McClellan Ranch Preserve,US-CA,04 Feb 2026,L299860,S298073839,,1
7,33187,species,White-crowned Sparrow,Zonotrichia leucophrys,,McClellan Ranch Preserve,US-CA,04 Feb 2026,L299860,S298072172,,1
8,19204,species,Hutton's Vireo,Vireo huttoni,,McClellan Ranch Preserve,US-CA,04 Feb 2026,L299860,S298072107,,1
9,22094,species,Chestnut-backed Chickadee,Poecile rufescens,4,McClellan Ranch Preserve,US-CA,04 Feb 2026,L299860,S298067182,,1
10,7843,species,White-tailed Kite,Elanus leucurus,,Stevens Creek Trail--north of US-101,US-CA,03 Feb 2026,L419997,S297966558,,1
11,6521,species,Ring-billed Gull,Larus delawarensis,,Google,US-CA,03 Feb 2026,L58003532,S297875432,,1
12,28114,species,Northern Mockingbird,Mimus polyglottos,,Google,US-CA,03 Feb 2026,L58003532,S297872280,,1
13,27329,species,Marsh Wren,Cistothorus palustris,,Sunnyvale WPCP--Landfill,US-CA,02 Feb 2026,L1305605,S297797015,,1
14,7600,species,Black-crowned Night Heron,Nycticorax nycticorax,,Sunnyvale WPCP--Landfill,US-CA,02 Feb 2026,L1305605,S297796657,,1
15,5770,species,Black-necked Stilt,Himantopus mexicanus,,Sunnyvale WPCP--Landfill,US-CA,02 Feb 2026,L1305605,S297796246,,1
16,25253,species,Bushtit,Psaltriparus minimus,,Stevens Creek Trail--north of US-101,US-CA,02 Feb 2026,L419997,S297774711,,1
17,7729,species,Great Egret,Ardea alba,,Stevens Creek Trail--north of US-101,US-CA,02 Feb 2026,L419997,S297770923,,1
