Common Name
Mallard  
Gadwall  
American Wigeon  
Northern Pintail  
Green-winged Teal  
Cinnamon Teal  
Blue-winged Teal  
Northern Shoveler  
Wood Duck  
Redhead  
Canvasback  
Ring-necked Duck  
Lesser Scaup  
Bufflehead  
Common Goldeneye  
Barrow’s Goldeneye  
Ruddy Duck  
Harlequin Duck  
Surf Scoter  
White-winged Scoter  
Black Scoter  
Canada Goose  
Cackling Goose  
Snow Goose  
Ross’s Goose  
Greater White-fronted Goose  
Tundra Swan  
Trumpeter Swan  
Common Merganser  
Red-breasted Merganser  
Hooded Merganser  
Pacific Loon  
Common Loon  
American Coot  
Pied-billed Grebe  
Western Grebe  
Clark’s Grebe  
Eared Grebe
